Training log created at 2025-10-28T14:33:14.957871
Epoch 1 : 50 / 3500 samples , time for last 50 samples : 0:00:08 hours , time since beginning : 0:00:08 hours , time left to finish the epoch : 0:09:56 hours , Loss/total: 8.30154 , IoU: 0.03936 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 100 / 3500 samples , time for last 50 samples : 0:00:05 hours , time since beginning : 0:00:14 hours , time left to finish the epoch : 0:06:20 hours , Loss/total: 8.29835 , IoU: 0.03503 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 150 / 3500 samples , time for last 50 samples : 0:00:05 hours , time since beginning : 0:00:20 hours , time left to finish the epoch : 0:06:30 hours , Loss/total: 8.29820 , IoU: 0.03765 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 200 / 3500 samples , time for last 50 samples : 0:00:05 hours , time since beginning : 0:00:25 hours , time left to finish the epoch : 0:06:27 hours , Loss/total: 8.28679 , IoU: 0.03712 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 250 / 3500 samples , time for last 50 samples : 0:00:05 hours , time since beginning : 0:00:31 hours , time left to finish the epoch : 0:06:22 hours , Loss/total: 8.28332 , IoU: 0.03468 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 300 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:00:39 hours , time left to finish the epoch : 0:07:52 hours , Loss/total: 8.28064 , IoU: 0.03448 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 350 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:00:45 hours , time left to finish the epoch : 0:06:20 hours , Loss/total: 8.28205 , IoU: 0.03374 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 400 / 3500 samples , time for last 50 samples : 0:00:05 hours , time since beginning : 0:00:51 hours , time left to finish the epoch : 0:06:06 hours , Loss/total: 8.27929 , IoU: 0.03708 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 450 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:00:57 hours , time left to finish the epoch : 0:06:08 hours , Loss/total: 8.27718 , IoU: 0.03512 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 500 / 3500 samples , time for last 50 samples : 0:00:06 hours , time since beginning : 0:01:03 hours , time left to finish the epoch : 0:06:00 hours , Loss/total: 8.27546 , IoU: 0.03423 , LR/group0: 0.000100 , LR/group1: 0.000010
Epoch 1 : 550 / 3500 samples , time for last 50 samples : 0:00:07 hours , time since beginning : 0:01:10 hours , time left to finish the epoch : 0:07:20 hours , Loss/total: 8.27086 , IoU: 0.03773 , LR/group0: 0.000100 , LR/group1: 0.000010
